dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,wind_gust,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,weather_desc_broken clouds,weather_desc_few clouds,weather_desc_fog,weather_desc_haze,weather_desc_heavy intensity rain,weather_desc_heavy snow,weather_desc_light rain,weather_desc_light snow,weather_desc_mist,weather_desc_moderate rain,weather_desc_overcast clouds,weather_desc_scattered clouds,weather_desc_sky is clear,weather_desc_snow,weather_desc_thunderstorm,weather_desc_thunderstorm with heavy rain,weather_desc_thunderstorm with light rain,weather_desc_thunderstorm with rain,weather_desc_very heavy rain
2022-01-05 01:00:00 +0000 UTC,33.49,31.14,34.95,1028,52,10.0,201,13.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 02:00:00 +0000 UTC,33.22,31.98,34.16,1028,57,11.01,199,15.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 03:00:00 +0000 UTC,32.27,30.15,33.94,1027,59,11.01,178,15.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 04:00:00 +0000 UTC,31.23,29.98,32.95,1027,62,10.0,195,14.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 05:00:00 +0000 UTC,31.42,29.14,32.95,1026,65,8.99,186,15.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 06:00:00 +0000 UTC,31.6,30.15,32.95,1025,63,11.01,229,17.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 07:00:00 +0000 UTC,32.74,31.14,34.14,1024,65,8.99,223,15.99,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 08:00:00 +0000 UTC,32.27,30.94,34.14,1024,71,5.99,252,10.0,0,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2022-01-05 09:00:00 +0000 UTC,32.18,30.15,34.16,1022,71,5.99,210,10.0,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2022-01-05 10:00:00 +0000 UTC,32.47,30.94,34.21,1021,72,8.99,360,15.99,100,,,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
